war_rank,team,conference,war_bat,war_pit,war_total,wrcplus_adj,wrcplus_raw,pitchplus_adj
337,Coppin St.,MEAC,-2.737,-7.529,-10.267,56.712,85.326,30.075
338,Le Moyne,NEC,-7.393,-4.208,-11.600,41.904,64.626,58.006
339,FDU,NEC,-3.706,-8.291,-11.997,58.248,81.410,42.201
340,Alcorn,SWAC,-5.400,-6.828,-12.228,48.019,75.145,43.638
341,Niagara,MAAC,-4.445,-8.224,-12.669,50.464,69.696,35.989
342,Grambling,SWAC,-1.998,-10.693,-12.691,64.387,94.385,26.436
343,Stonehill,NEC,-4.555,-8.570,-13.125,53.737,69.437,38.840
344,Saint Peter's,MAAC,-6.705,-6.720,-13.425,45.417,59.314,48.241
345,New Haven,NEC,-9.171,-5.449,-14.620,29.752,50.413,50.155
346,Saint Francis,NEC,-2.219,-14.596,-16.816,64.291,82.976,17.941
347,Alabama A&M,SWAC,-0.612,-16.571,-17.183,71.821,120.213,11.955
348,UMES,MEAC,-9.767,-7.841,-17.608,27.916,67.463,39.007
349,Mississippi Val.,SWAC,-7.661,-16.380,-24.040,24.231,56.689,-9.885
